SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,200072,EQUITY,0,MCL,1,M Tek Copper,,,,1,NA,ES,NS,M TEK COPPER LIMITED
BSE,E,200105,EQUITY,0,RKEC,1,RKEC Projects,,,,1,NA,ES,NS,RKEC PROJECTS LIMITED
BSE,E,200184,EQUITY,0,PARAMPARA,8000,Parampara Dairy Delights,,,,5,NA,ES,NS,PARAMPARA DAIRY DLGHT LTD
BSE,E,200223,EQUITY,0,SMVD,4040,SMVD Poly Pack,,,,5,NA,ES,NS,SMVD POLY PACK LIMITED
BSE,E,200283,EQUITY,0,JMA,1,Jullundur Motor Agency,,,,1,NA,ES,NS,JULLUNDUR MOT AGENCY LTD
BSE,E,200306,EQUITY,0,SINTERCOM,1,Sintercom,,,,1,NA,ES,NS,SINTERCOM INDIA LIMITED
BSE,E,200405,EQUITY,0,MPTODAY,2000,Madhya Pradesh Today Media,,,,5,NA,ES,NS,M P TODAY MEDIA LIMITED
BSE,E,200428,EQUITY,0,JETKNIT,750,Jet Knitwears,,,,5,NA,ES,NT,JET KNITWEARS LTD.
BSE,E,200454,EQUITY,0,DIRL,6000,Dhanuka Infra Realty,,,,5,NA,ES,NS,DHANUKA INFRA REALTY LTD
BSE,E,200475,EQUITY,0,NIRAJISPAT,1,Niraj Ispat Industries,,,,1,NA,ES,NS,NIRAJ ISPAT IND LTD
BSE,E,200486,EQUITY,0,MAHICKRA,750,Mahickra Chemicals,,,,5,NA,ES,NS,MAHICKRA CHEMICAL LIMITED
BSE,E,200519,EQUITY,0,SAKAR,1,Sakar Healthcare,,,,5,NA,ES,NS,SAKAR HEALTHCARE LIMITED
BSE,E,200535,EQUITY,0,ELGIRUBCO,1,Elgi Rubber Company,,,,1,NA,ES,NS,ELGI RUBBER CO. LTD
BSE,E,200540,EQUITY,0,CROWN,1,Crown Lifters,,,,1,NA,ES,NS,CROWN LIFTERS LIMITED
BSE,E,200558,EQUITY,0,MILTON,2200,Milton Industries,,,,5,NA,ES,NS,MILTON INDUSTRIES LIMITED
BSE,E,200566,EQUITY,0,SURANI,200,Surani Steel Tubes,,,,5,NA,ES,NT,SURANI STEEL TUBES LTD.
BSE,E,200669,EQUITY,0,FROG,400,Frog Innovations,,,,5,NA,ES,NT,FROG INNOVATIONS LIMITED
BSE,E,200738,EQUITY,0,JALAN,3000,Jalan Transolutions,,,,5,NA,ES,NT,JALAN TRANSOLU. INDIA LTD
BSE,E,200742,EQUITY,0,AISL,600,ANI Integrated Services,,,,5,NA,ES,NS,ANI INTEGRATED SERV LTD.
BSE,E,200761,EQUITY,0,TEMBO,1,Tembo Global Industries,,,,5,NA,ES,NS,TEMBO GLOBAL IND LTD
BSE,E,200766,EQUITY,0,UWCSL,1000,Ultra Wiring Connect,,,,5,NA,ES,NS,ULTRA WIRING CONN SYS LTD
BSE,E,200995,EQUITY,0,TSFINV,1,TSF Investments,,,,5,NA,ES,NS,TSF INVESTMENTS LIMITED
BSE,E,201000,EQUITY,0,VSCL,3000,Vadivarhe Speciality Chemicals,,,,5,NA,ES,NT,VADIVARHE SPCLTY CHEM LTD
BSE,E,201038,EQUITY,0,ICEMAKE,1,Ice Make Refrigeration,,,,5,NA,ES,NS,ICE MAKE REFRIGERAT LTD
BSE,E,201064,EQUITY,0,AMBANIORGO,1000,Ambani Orgochem,,,,5,NA,ES,NS,AMBANI ORGOCHEM LIMITED
BSE,E,201232,EQUITY,0,CDSL,1,CDSL,,,,10,NA,ES,NS,CENTRAL DEPO SER (I) LTD
BSE,E,201277,EQUITY,0,UCL,2000,Ushanti Colour Chem,,,,5,NA,ES,NT,USHANTI COLOUR CHEM LTD
BSE,E,201342,EQUITY,0,TOUCHWOOD,1,Touchwood Entertainment,,,,1,NA,ES,NS,TOUCHWOOD ENTERTAIN LTD.
BSE,E,201344,EQUITY,0,PULZ,2000,Pulz Electronics,,,,5,NA,ES,NS,PULZ ELECTRONICS LIMITED
BSE,E,201471,EQUITY,0,VARDHACRLC,1,Vardhaman Acrylics,,,,1,NA,ES,NS,VARDHAMAN ACRYLICS LTD
BSE,E,201480,EQUITY,0,KRISHANA,1,Krishana Phoschem,,,,5,NA,ES,NS,KRISHANA PHOSCHEM LIMITED
BSE,E,201552,EQUITY,0,ANTGRAPHIC,1,Antarctica,,,,1,NA,ES,NS,ANTARCTICA LTD
BSE,E,201657,EQUITY,0,PANSARI,1,Pansari Developers,,,,5,NA,ES,NS,PANSARI DEVELOPERS LTD
BSE,E,201673,EQUITY,0,UNIINFO,1,UNIINFO Telecom Services,,,,1,NA,ES,NT,UNIINFO TELECOM SERVI LTD
BSE,E,201684,EQUITY,0,NBIFIN,1,NBI Industrial Finance Company,,,,10,NA,ES,NS,N.B.I. IND. FIN. CO. LTD
BSE,E,201686,EQUITY,0,PAR,1,Par Drugs & Chemical,,,,1,NA,ES,NS,PAR DRUGS AND CHEM LTD
BSE,E,201707,EQUITY,0,ALCODIS,625,Alcokraft Distilleries,,,,5,NA,ES,NT,ALCOKRAFT DISTILLERIE LTD
BSE,E,201720,EQUITY,0,EIFFL,1,Euro India Fresh Foods,,,,1,NA,ES,NT,EURO (I) FRESH FOODS LTD
BSE,E,201806,EQUITY,0,SHUBHLAXMI,1000,Shubhlaxmi Jewel Art,,,,5,NA,ES,NS,SHUBHLAXMI JEWEL ART LTD
BSE,E,201890,EQUITY,0,BSE,1,BSE,,,,10,NA,ES,NS,BSE LIMITED
BSE,E,202065,EQUITY,0,AHLADA,1,Ahlada Engineers,,,,1,NA,ES,NS,AHLADA ENGINEERS LIMITED
BSE,E,202099,EQUITY,0,UNIVASTU,1,Univastu,,,,1,NA,ES,NS,UNIVASTU INDIA LIMITED
BSE,E,202144,EQUITY,0,DRSDILIP,800,DRS Dilip Roadlines,,,,5,NA,ES,NS,DRS DILIP ROADLINES LTD.
BSE,E,202216,EQUITY,0,KHFM,1550,KHFM Hospitality,,,,5,NA,ES,NS,KHFM HOS FAC MANA SER LTD
